english,khasi
"kulmar, v. to speak as if one is in a confused state of",Kren
kren kulmit.,mif kren kulmar
"dathew,",Kren
"hangamei, v. to speak arrogantly.",Kren
"jakter,",Kren
"japnej,",Kren
"jler, v. to tell stories.",Kren
"lamwir,",Kren
kren lamtbam.,kren lamwir
"laplab, v. to speak witbout due deliberation, to overstate.",Kren
"lkbit,",Kren
"lyngkut, v. to speak bluntly.",Kren
"madan, v. to speak whatever comes before ones mind.",Kren
"nangang, v. to have a bad tongue.",Kren
nangang,kren
"nangbap,",kren
"pankwab, v. to speak as if one courts for an evil tbing.",Kren
"patbdr,",Kren
"sa, v. to speak sulkily.",Kren
"saidlab, v. to continue to press a point after",Kren
"salia, v. to tease.",Kren
saliakrensalait.,Imit kren
"satia, v. to vex, to annoy.",Kren
"siar, v. to backbite.",Kren
SIH,KREN
"sih, v. to use indecent language.",Kren
krentla.,Imit krensih
"tain tain, v. to rate, to chide.",Kren
"thala, v.",Kren
krenthalein.,krenthala
"thanmla, v. to",Kren
kren,thamula
"thawdur, v. to speak",Kren
kren,tliawdur
"tlilia, v. same as Jcrensatia.",Kren
krenthlait.,krenthlia
"thuhkhana, v. to carry",Kren
kren thuh khadeh.,thuh khana
"thurmur,",Kren
"waiwot,",Kren
"weibriew,",Kren
"wohnia,",Kren
"krep, im, ad.",Krep
krep.,fresh as u jhur u dang im krep
stone.,Kria v to sharpen a daw with a small piece of whet
ka shang.,ImU ka kriah
krik,Krik
"kring, ad. sparklingly",Kring
"krip, ad.",Krip
krij.,khfiiang u par krip
ka kram.,Jmit ka kroh
"krop,  jem ad.",Krop
shell,egg
"krup, ",Krup
land cultivation.,Krtid V to scrape the earth lightly for high
ka knab.,krung
"lbong, ka, n. the muscle of the thigh.",Ksang
kbia.,lmit ksam
"rumpei, phr. to win the case at home or when not",Ksan
"blei, ka, n.",Kseh
"ksheit,",Ksheit
ksheit,Yhiteas lieh ksheit
kait.,kum ka khoit
between., a go
ka dhah.,Imit ka ksing
"ngap, ka, n. a beehive.",Ksing
child,Ksiew n a grand
"ksiew, paraksiew, pyrsaksiew.",see khun
"tun, n. a child of a grandchild.",Ksiew
ukhrei.,Imit u ksuid
KTAK,KTAK
"ktak,",Ktak
Matc.,solipieiig ngi lali ban ioh ka rong kaba long ktak
shoi.,Iinit ktah
"kti,",Ktah
"ktar, a. muddy.",Ktar
dar,As ka ktieli kaba klrr
"kti, uha,",Kthang
"father,", n a grand
inlaw.,a father
inlaw.,Kthaw kurim u n a father
field., paddy
ka Iwer.,Imit ktieh
ka thylliej.,Irnit ka ktien
"ktuk, iong, ad. of a dark and dirty",Ktuk
ktuk.,uba iong ktuk
"ktur, ad. like a sulphurous glow",Ktur
ktnr.,as phyrnai ktiir
", v. to court a wrong or bad thing.",Kuah pan
REKUMNO,KUMNO
"kudim, a. very ancient.",Kudim
ka madar.,mit ka kular
kuhnit.,Imit kulmar
kulong., kulong
"rekumno,",Kumno
"kumne, kiba, n. persons of",Kurcto
ka kait.,Iniit ka kuna
kutin.,Imit knnai
ka sem.,ka kup
"kad, ka n. an",Kupar
"ka kmie,",kur
"u kmie, ki kurki kmie.",u kur
kupai.,Imit Kurim
"jingmut,",Kut
"lad,",Kut
kutok kutokkudim.,Imit kutok
"lieng,",Kylla
KABAMUT,KYLLA
KWAH,KYNDANG
"kabamut,",Kylla
kyrjaw.,Imit kyllain
"kyrjaw,",Kyllain
"mongor, ad. crosslegged.",Kyllain
"jainnep, phr. to bo destroyed or annihilated.",Kylla
"jutang,",Kylla
"lyngkot, u,",Kylla
"prah,",Kylla
thew.,pyr
"ktien,",Kylliang
kyrwa.,Imit kylluid
"ad, v. to become swollen as a boil.",Kyn
ka kynda.,Imit ka nar
"kwah, phr. a person who",Kyndang
KYNDONG,KYNDAH
IEB,KYN
"kyndong, a, n. creek and corner.",Kyndah
kynbiang.,Imit kyndiap
"bynriew, v. to regain consciousness, to come to oneself.",Kyndit
theway,out of
kynshrot.,kyndong
"jakpoh,",Kyndoi
ka kynnah.,Imit kyndon
fuls made like a bowl.,Kyndiip kan two palm
hanging.,a over
hdm.,Kynham v to give a warning by shouting hdm
hoi.,Kynhoi v to shout by saying hoi
"in, ka, n. the breadth of a cloth.",Ivyn
"ieb, ad. raised up as the lid or covering.",Ivyn
"ib, v. to crow.",Kyn
jk.,oijk
kynjik.,Imit kynjak
toe,tip
"khaskain, v. to perform a poojah ceremony before occupy",Kynjoh
", ad. up, aloft.",Kynjoifi jrong
"tabah,",Kynjri
"wahdong, u, n. a kind of earing.",Kynjri
"kti,",Kynjut
kyndit.,ImU kynmaw
BYNRIEW,KYNMAW
"bynriew,",Kynmaw
", ad.", jrong
"nut, J",Kyn
we., katdong kaba jroiig X
kynta.,kynnoh
"i, v. to hush, to lull a child.",Kyn
shoot,arrow
ili ia u masi ba u ieng kynreng. ,as  nga ioh
"shing,",Kynrong
ka,kynroh
"prie, v. to have nausea.",Kynroi
kynram.,Imit kynrum
"kynram, hi, n. things lying about in confusion.",Kynrum
kyndiap. ,kynshew
inlaw,brother
inlaw ,sister
"maram, w, n. the spirit",Eyntang
way or,high
ofdoors and,out
"lyngkor,",Kynta
share.,holds and directs the plough
"uiuhmat, a.",Kyntem
lasbes.,eye
khynnah.,Imt kynthei
kynjai.,kynthem
"jymbnin, v. to",Kynther
", ",Kynthrin
i ia u,as  nga ioh
"ad. entirely,",twice 
formed but small,Kyntiak a well
"kurim, v. to perform a marriage ceremony.",Kyntiew
"doh,",Kyntiew
"iing, v.",Kyntiew
iicg,kyntiew
sem.,kyntiew
kyntiaj.,kyntoit
"ka, n. a heap, a mound, earthen wall.",Kynton v to heave i
", ad. like a",Kyntop jrong
jaccefs ki,Blue
lieng ba phong i tupia iba kyntop.,long ki shipai
"tid, v. to sing, to hum",Kyn
"um,",Kyn
inlaw., n a brother
umu iing.,Imit u kyn
"ang, v. to crack.",Kyr
"ah,",Kyr
shaped,ring
snake.,rattle
"an, a. short but stout.",Kyr
kyrthing.,beit
kyrdoh.,kyrkhu
kyrda.,Imit kyrkieh
ground.,JKyrkit kat n a cricket play
kyrnah.,Imit kyrdan
OH,KYR
ka kyrnah.,Imit ka kyrdon
tylli.,ki deng kyrdot da ki siar
kyrtan.,Jm kyrduh
"eit, a. vain, foppish.",Kyr
kyrngang.,lmit kyrngah
pigeon.,Kyrngem ka n a fruit
"iah, v. to cut a fish horizontally at short intervals for",Kyr
"iap,  ad, standing like a diseased",Kyr
"iep, j",Kyr
kaw u ieng kyriap ha lyeit dieng ,khar
"iat,",Kyr
"iaw, a. seasoned, fullgrown.",Kyr
"ih, v. to turn round and round while in a sitting posture",Kyr
"oh, V, to carve in a concave shape, as the head of an",Kyr
string.,the bow
OT,KYR
"ot, a. stubborn, easily provoked.",Kyr
kyrpon.,Imii kyrpad
"sa, v. to undermine, esp. in",Kyr
"kyrbah, v. to call on the gods for the restoration of",Kyrsan
"rngiew, v. to call back ones good luck or life by invoking",Kyrsan
spirit who causes blindness to,Kyrtep w u an evil
round.,Kyrtiang v to turii
demon,ti n a wind
"lyndet, v. to reboimdj to react.",Kyrtoh
i ia u,as phi lah ban xoli
"tari, n. a handle of a knife",Dab
binder.,u n a daftri or book
ka,dak
dangsan.,Dangkhie a young growing Imit dangkhie
"ngir, ad. early in the morning.",Dang
leaf,pan
kadong,Imit ka dah
"dain, a. wide, spacious  as, ki la siang ka rynsan kaba daifi",Daiii
"dor,",Dain
"daikot, ka, n. a witch.",Daini
"doh, a. compact, thick.",Dait
"thah, a. very cold",Dait
like.,ice
"lei, phr. at any cost.",Da lei
"mar, fhr. used in contemptuous expressions or in challenging",Da
mar une u pran ia leh.,as  da
", as,  ym don shi dana ruh.",with shi
phulit.,danda
"hom ym, v. to be unsatiable.",Dap
"dar, adv. with quick light steps",Dar
dar.,as iaid dar
"jot, phr. to make a lame excuse.",Da rap
"lieng, ka, n. the trace of a boat in shallow water.",Diir
DENG,DENG
shoh.,dat
ka dong.,Imit ka daw
"daw eh, ad. toiigh",Daw
ddw.,as  ka doh ka la eh ddw
dashin.,dawai
fly.,honey
rat or mole.,n a kind of hill
Khasi.,Dkhar u n a non
nlyngkien.,Imit u dkhar
u dkhai.,mit u dkhot
western part of the,Dko n the people living in the north
"u Lyngngam,",Dko
dkia.,Imit Dkoh
"mynsiem,",Dkut
kup.,deng
"deng, ad. with ease",Deng
deng.,deng
"thana, a. having some relationship by",Dei
dei thakher.,thana
"den, ad. with firm steps of a child",Den
den.,as laid den
"der, ad. lightly, gaily walk",Der
der.,ki laid der
"phiang, u, n. grass dressed for",der
made.,Desi a country
NGAN,DIENG
"diangjat,",diangti
sapai.,diap ia ki sapiet
"spirited, disappointed",Diaw ad low
legged bird,Didiaw ka n a long
dik ban,as  u kwah dik
thied.,Imit die
"baibat, v. to sell for cash.",Die
"baitrai,",Die
"khutia,",Die
khutain.,Imtt die khutia
"duh, v. to sell away  to sell at a loss.",Die
duh diesep,Imit die
ka,dieng
"bilat, ka, n. the gumtree.",Dieng
wood,ka n a red
wood.,Diengkseh u n the pine
diengshdn.,Imit diengduh
"ngan, ka, n. a tree which is sometimes",Dieng
NGAI,DIENG
"ngai, ka, n. the irontree",Dieng
"wood, dried wood.",fire
"ieng, ka, n. a tree which is withered up.",Diengiap
"iei, ka, n. the name oi",Dieng
ee,ti
looking the Shillong station.,west of and over
shadowed,over
diengpiet.,Imit diengiei
dienglyngngiang.,Dienglyngngong
trees.,Diengmet ka w a term applied to all trees besides pine
"niangmat, ka, n, a shrub",Dieng
"bar, obstacle.",ti n a cross
"ri, ka, n. Bot. Queroua dealhata.",ieng
"rtiang, ka, n.",Dieng
treatment., one who forbears ill
dieng,dicngsliynrain
tree resembling lea,Diengsong ka n a prickly
"ia,",Diengsohli
tree.,n an orange
fruit tree.,zi n the jack
tree,apple
"am,",Diengsohpri
tree.,ti n the wild pear
"laka, j ",Die
"lang, ",Die
"lildm,",Die
ka bud.,limit ka dien
print.,Dienjat ka n foot
ka theh.,ImU ka ding
"tdn, ka n. willothe wisp, ignis fatuus, jackolantern.",Dingsuid
bam.,dih
dihdukhew.,Imit dihduma
"dob, ad. slowly and",Dob
dob.,sdang iaid dob
"dod,",Dod
dod mynta., ad tymmen dod
dod.,as  ka bniat ka la khih dod
ka,dong
dongT,phiang ruh u rah dong
tail,a wag
dait.,Imit doh
kakah.,doh
dohpnat.,Imit clohkha
"iap,",Doh
dohmreng.,Imit dohmrad
", ad. in a gentle flow of speech",kren
dohthdm.,mit dohthli
"doi, ad. as in a swing, to",Doi
doi,doi
doi.,as nga sngew doi
dn,dn
"don, ad. firmly",Don
don.,iaid don
"akr, a. wellbehaved",Don
donsor.,mif donbor
donsurom.,hnit donburom
donjam.,donkam
"iktiar, a. having authority.",Don
donrem.J,Imit donrain
"kait, ka, n. the bark of a plantain tree.",Dop
nut tree.,Dopwai ka n the outercrust or cover of an areca
ka mur.,mit ka dor
ka sorbar.,n ka dorbar
ka dorpat.,i ka dorkhat
Inspector,Sub
keeper.,it n a door
pliirat.,uiit duai
dupat.,Imit duwan
ka,SImit duar
suk or ka dukka pap.,Imit duk
keeper.,i a shop
dukhait.,Jmit dukbi
"tan, or, duhsep.",Imii dub
"a sufiix which means entirely, once for all, as in the",Dub
"flz, iiiQduh, shduh.",iap
"buit, V. to be perplexed",Dub
"ei,",Duh
players.,Dubalia ki n funeral flute
hoi.,t a cheer by saying hoi
cowries in gambling.,Dui n two
"dui, . to and fro, up",Dui
dui.,khih dui
house,brick
"ka paki,",dulan
u maswa.,Imit u diim
dukhew.,mit duma
"dngiem, v. to be at a loss coloq.",Dum
kamok.,lmit dumok
"diin, ad. with firm steps like the walking of a hen.",Dun
ka dar.,mit ka dur
"p, ka, n. a kind of gambling.",Duri
"lanot, int. good gracious",Dur
u dandia.,Imit u dusmon
phirat.,mit duwai
ka dupat.,Imit ka duwan
KOR,EIT
"bound,",in a stupified state spell
"eng, a, sound and healthy",Eng
eng u shu iap ,eng
"eh, a. exceedingly hard or stiff, very tedious.",Eh
he, e
"ei kaei, iei pron. who  what ",Ei  contr u
"ei, n. something, anything.",Ei
"eiruhem, phr. nothing at all.",Ei
ka ksem.,Imit ka eit
"kor, ka, n. earwax.",Eit
DANG,Eir
"dang, kaha n. hard evacuations or faeces.",Eit
"masi, ka, n. cowdung.",Eit
"mat, ka, n. eyepus. Imit. eifcmateitmut.",Eit
pus. Tmit. eitmuteitmat.,Eitmut ka n nose
"nar, ka, n. slag of an ironfurnace.",Eit
"ba, a. welltodo.",fem badon
"ja, V. to remain without taking food. Imit. enjaenjhur.",fen
"r, ad. in full blaze",fer
r.,as  ka ding ka dang meh r
"kyllang, ka,",er
iongerngit.,Imit er
"langthari, ka, n. a whirl wind.",er
NGAW,NGAW
"ngang,",Ngang
ngang,kumno kumno ruli u shu bat nang
ngang.,uba skhem ngang
"ngah, a. as tender as a new born babe",Ngah
ngah.,ngah
ufiai u nong,ngai
"ngai,",Ngai
"ntaiigitngit,",Ngai
ngaingitngit,ngai
"re,",kumno
", ad. very black",Ngain iong
"ngain, ad. very dark",Kgain
"ngam du,", dang dum nain
"um,",Ngam
ordeal,v to decide by water
"ngap dang, ad. very early in the morning.",Ngap
"tem,",Ngap
"bee, a honeybee.",u n a hive
"tung, Uj n. a drone.",Ngap
"wieh,",Ngap
ground., n a small bee that lives under
"ngar, ad. lively, green",Isgar
ngar.,im ngaf
"ngaw iong, ad. very black like charcoal.",Ngaw
NGOI,NGOI
"ngeng,",Ngeng
igeng.,ka khia ngeng
"biet, v. to be",Ngeit
", v. to do wrong secretly, see bamngem.",Ngem bam
"bndi, kaba, n. waning of the moon.",Ngen
"ngp, ad. with dishevelled hair",Ngep
ngep u bamja.,as  tang shu khie ngep
"nger, ad. indistinctly",Nger
i kumba,ioh
nyer.,u briew nge
"nget, ad. partially and faintly as",Nget
i kein ngetnget ia ka rel.,as  nga ioh
"ngiah, a. very tender or young,",Ngiah
ngiah ia lade.,ngiah
"ngah ngah, a. belonging",Ngih ngih
"lalu, ka, n. a species of large black bear.",ngiem
"ngaifi ngain, ad. dark and cloudy.",Ngifi ngin
"ngir, ad. very",Ngir
ngir.,dang ngir
"ngoi, ad. languidly, weakly",Kgoi
REHAEI,HAEI
ngak ad. suddenly,Nguk
ngak u,as  tang shu iakynduh vguh
dem.,Imit nguh
"shnong,",Nguhlet
"ngur, ad. in the",Ngur
ngur,la sdang miet ngur
"ngut dang,",Ngut
"ngutngetnget,",Ngut
i ngufngiitngetngef.,briew ne u mrad namar nga shu ioh
"badei, ad. sometimes, now and then.",Habadei
"nahak, ad. uselessly, without any cause.",Hak
habiid.,Imit hadien
"haei, ad. anywhere.",Haei
"rehaei, ad. somewhere.",Haei
"hangno, ad. anywhere.",Hangno
hangthie.,far but in sight Imit hangtai
tai ad. there very far but in sight.,Hangtai
"bai, ad. lavishly, extravagantly,",Hai
"hain, ad. very red",Hain
"xahai, ad slowly.",Hai
"katta, cotij.",Hajar
np,Hajot ka n a lock
"halai, ad. by and by",Halai
halai u sa ieit.,bha ia nga hynrei ynda halai
synnia,as u wan hamar shiteng
"hapoh, ad. secretly",Hapoh
shop,Hap
bullocks,Hdr ka n condition a pair generally said of plough
"har, ad. breezy",Har
har,er har
"kari, ka, w. handcuffs.",Hat
"hateng, ad. now and then,",Hateng
hateng,as  u wan kai hateng
hakhat.,mii hateng
"haar, ai. elsewhere",Hawei
ar kim khot basa,as  ban te
"haw, ad. clamorously,",Haw
"he, ad. pantingly",He
"hek, ad. very",Hek
"heug, ad, with a stentorian sound",Heng
heng.,kaba sngew ieng
izY.,kumta
"hem, ad. very red.",Hem
"hen, ad. like",Hen
"hep kpoh, ka",Hep
i ia u.,shepting her ha ngaioh
"iapher im, v. to run for life.",Hr
"her, ad. strongly bad smell",Her
her Jem herher nep kerher.,iwtung her
"mynsiem,",Her
"syrngiew, v. to be at ones wits end.",Hr
"iadep, ka, n. a flake.",Hiar
"hiaw, ad. weakly, softly",Hiaw
"i, ad. yes",Hih
"sima,",hima
"hip, ka n. the end of the ribs.",Hip
"hir, ad. longingly, exceedingly",Hir
hir. ,nad hir
"oid, Hooid,",Hoid  yes also written Ha
"hn, ad. like flour which",Hn
hon., kane ka jingkhleh ka la um eh hon
"hor,",Hor
hor,hor
hordang.,Imit Horkit
hud., kane ka shu bha skt
"huQihamham, ad. noisily talking.",Hum
"hura, n. confusion, row.",Huri
"hur, ad. very,",Hur
ripe fruit.,soft like an over
", v. to indulge",ai
hynthdi.,Hyndai
hynbew.,Imit Hynmen
"skum, ki, n. the",Hynfiiew
ki,skum
"uhndi, an eclipse of the moon.",ham hynroh
JINGMUT,lADEI
"rit, Jtyllai.",diminution as Jwait
"sih to abhor,",look as z
i.,as in the word ioh
iasap.,lmit labuit
"maw, v. to cause a split in",lakad
kdd,lakad maw
"jutang,",lakM
ia majia.,lakajia
"khar, ka,",iad
pudka.,n same as iad
"deiman,",ladeikha
"kur,",ladei
side,v to have relationship on the mother
"jingdei, v. to have some relationship,",ladei
"jingmut, v.",ladei
rlIAR,lAD
PAWANG,lAID
"hiar, ka, n. undistillecl liquor which",iad
"pudka, ka, n. distilled liquor",iad
"rod, ka, n. strong liquor.",iad
"snem,",iadtang
"thnam, ka n. a very strong country",iad
"um, ka, n. undistilled liquor taken from a jar beer.",iad
ei,la
"eiiaei, phr.",la
"eireiaei, phr.",la
ieng.,Imit iaid
iengkai.,kai
"kaieng, ka, n. manner",laid
"kaikai, v. to walk by",laid
"kankan,",laid
"kenken,",laid
"kh nip khnip,",laid
"kjik kjik,",laid
"kynthew,",laid
"kynthih,",lAid
"kyrbeit,",Idid
"dar dar, v. to have a brisk walk.",Idid
"nengngenf, v. to walk as one who is intoxicated.",Iaid
"iorior,",Jaid
"laitlan, v. to",laid
"lyngngeh,",laid
"pawang, v, to swagger.",Idid
SHANSHAN,lAID
"shanshaii,",Idid
"shenshen,",Iid
"suda,",Iid
"thnet thnet,",laid
"tnettnet,",laid
"ieh noh,",la
iariew.,Imit ialap
iapah.,ialuli
iania.,iamal
"hriew,",lam
im.,Imit iap
wah.,zV
"antr,",lap
angiapler.,lap
ialuh.,Imit lapah
biejiap them.,Imit iap
LASIR,lAR
duhiaptan.,Imit iap
iapshoin.,Imit iapngiah
"iap, ad. thin and light cloth.",lap
ieng.,lap
"iong, V. to be attacked with mildew,",lap
dzdr.,n kdld
"jyllop,",lap
"op, V. to die of suffocation.",lap
"pongding, v. to die",lap
iappongruh.,pongding
"shiliang, ka, n. palsy.",lap
snap,lap
"snem,",lap
"thai,",lap
"them, ka",lap
"thngan, v. to die of starvation.",lap
iapjingit.,iapthngan
"tram,",lap
"tyrsaw,",lap
tyrsawiaptyr,iap
"tyrut,",lap
utiapsmer.,Imit iaptyr
dieng,sla
"kdait, n. a small species of fowl.",iar
"khiar, ka, n. a bamboo partridge.",iar
"kradlynti, w, n. a cock which",iar
"lasir, n. a kind of cock or hen with",iar
IAR,lARLY
MARIAP,lASUH
"iar, ad.",larly
lyiar nalor ka riat.,as  u la hap iar
"mangkalai, w, n. a longlegged",iar
"nut, lime, tobacco, etc.",betel
ka iadep.,Imit ka iarong
"padat, u n. a cock which is",iar
"ryngkuh, u n. a cock.",iar
iama.,mit iasang
"lah,",lasid
iapiet.,Imit iasm
"iasham, v, to have dealing in money matters,",lashah
lender and a borrower.,a money
iadat.,Imit lashoh
"dohkha, v. to poison fish in a",lashoh
"shonshiw,",lasiat
iatap.,Imit iasong
"mariap, phr. to make the last",lasuh
IASHUR,IASUT
"iashor, v. to confirm an",lasuit
iasloh.,Imit iasum
"ktien, phr.",lateh
"ktien,",latem
iatar.,iathoh
iathuhkhadeh.,khana
iatlep.j,iatla
"up, ripe",ydw a grown
"tymmen, ka, n. the grand primitive ancestress of a clan.",lawbei
"khynraw, ka n. the",lawbei
"paw shnong ka, n. the grave",law
jMio dwells,the top of a hill where ka laiv
ikhoh.,ibein
imiat.,ibha
looking.,Ibiang a decent
anna.,Imlt ibieti
"riew,",Ibyn
ka,Irnit ka id
iaid.,lihit ieng
nohsansJi,ieh
thoin. Same as iej.,mit ieit
ka hat.,Imit ka ievv
azar.,lewdah ka n the Shillong Bara
"lurilura, ka n. the market of the beasts in Kliasi folklore,",lew
"lyngstieh, ka n.",lew
Bazar.,formerly held at night the day before the Shillong Bara
"Mawkhar, ka, n. the Mawkhar Bazar.",lew
"Mawlong, ka, n. the Municipal market",lew
day.,of a Khasi week
"Musiang, ka, n. the Jowai Sat.",lew
"Shillong, ka, n. the Laitlyngkot Sat.",lew
BRIEW,IING
"briew, lingkibriew,",ling
briew.,nga um pat leit iing
"bah, u, n. a species of ginger.",ing
"basa, ka n. a temporary",ling
basa,iing
"kashari, ka, n. Cutchery",fling
house., coiirt
ingkbait.,ingkhong
"kirja, ka, n. a chapel a church.",fing
"dara, ka,",ling
"ding, v. to get burnt with fire.",Ing
"dong, ka, n. the back.",iug
"jain, ka, n. a tent.",ling
"mane, ka, n. a temple",ling
"makhir, u, n, a species of small ginger having a more pungent",ing
"paki, ka, n. a house with stonewalls and ceiling of concrete",fling
pakiiingdulan.,Imit ling
"sad, ka, n. the",liug
sadiingsunon.,Imii ling
"sawdong, ka, n.",ling
"house,",Khasi
"seng, ka, n. the house where all the members of",ling
"thap, V. to be slightly scorched by a flame, to singe.",Ing
"trep, ka, n. a temporary hut or",ling
"tyrkhong, w, n.",ing
ingtyrkhap.,tyrkhong
"rod, a. not properly ripe.",Ih
ka singmana.,ImiL ka ilaka
imut.,Imit imat
"peit peit, ad. when",Im im
peit peit mjnsngi bah iia,as  u sha pyniap ia ka blang im im
"jingmut, v. to set ones heart upon, to be",Im
nongimni.,Imit im
"sngi, V. to have adequate daily wages",Iin
"ino, pron. whoever, whichever.",Ino
"ngit,",long
ngitiong,Imit iong
"rein, a. dusk, evening.",long
"umreit, a. beautifully dark of complexion.",long
dongiohlad.,Mit ioh
"diang,",loh
diangiohbat.J,Tmit ioli
"ei,",loh
"i,",loli
"mon, v. to get to do ones own will.",loh
"nong,",loh
iohni.,iohnong
"sa,",loh
sa could not be helped nga shu shimkein.,namar bym ioh
iohdem.,Imit iohthiah
"iop,",lop
"ior,",lor
", v. with slow and weak steps",iaid
ior knm uba pang,phi iad ior
iphar.,Imit ipher
iphieng.,Imit iphuh
iaspiring,Iphieng a awe
looking, grand
