english,khasi
paitdohnam.,Int paitdohniid
"paliang, a. distantly related.",Palat
BAEH,PARA
bubble., a soaxD
"demlorkhah, plir. a wife who",Panshandi
"tiensaid, kaba, n.in a battle array, before any of the parties",Pan
tiensaid.,form of address is called kaha pdn
"Khasi,",etc with another as in the words an
"nongshmi,",para
"mrdd, parakhjnvSiW, etc.,",jPrtr
"baeh, pr. of equal strength, resources, etc, to match with an",Para
BRIEW,PARA
"briew, n, n.",Para
man.,riage a fellow
"kha, shi, a. a relationship lietween children of brothers.",Iara
"khrparamer, u, n. a neighbour.",Para
"ksiew, u, n. grandnephew or niece on the mothers side.",Para
"kynsi,",Para
"shnong,",Para
villager. Imit.,ti a person of the same village a co
parathdw.,parashnong
"shongkha,",Para
parashongkhaparashongman,lmit u
"trai,",Para
para dkhuh,lmit para trai
"parai,",Pariah
a basket placed,Paron hh 
"pareh,",Parum
"kait, ka,",Pashor
shop.,Pata ka n a patta a licensed liquor
pateiig ia kane ka shitlii na kiwei pat ki briew.,as nga ioh
"pateng, ad. at every interval or stage.",Pateng
"lapateng, ad. from generation to generation.",Pateng
penryngkew,pAw
"peiiryngkew, v. to have the real state of",Pw
"rdifi,",Pw
"khd.rei, kaba, n. an arrow shooting competition in which",Pda
"Balang, v.",Pdiang
"dyngkhiet,",peh
"sylli,",peh
witted man., a ready
", v, to barter, to exchange.",ia
peitmut.,peitmat
DONG,PEirMAT
"dong, v. to look through the corner of the",Peitmat
peitiong.,Imit peitmiet
sehj v. to stare vacantly.,Peit
"pem, ad, lukewarm",Pem
"pen,",pen ahhrev of soh
"pet, u, n. the navel.",pet ahhrev qI soh
"kaw,",pet
"er,",phang
phahpyr,Imit phahkylli
"uBlei, phr",Phaik poh
i ba u,as  nga ioh
ukyrpad.,Phan w w a potato a household god Imit u phan
PHAWER,PHAWUR
"karo, u, n. sweet potato white rind.",Phan
"ew, u, n.",Phan
"longsyiem, u n, the household deity of a Siem.",Phan
"longspah,",Phan
longspahphanlongphew.,Irnit u phan
"mluhj u, n, a kind of sweet potato",Phan
"mongor, u, n. a common round potato.",Phan
"sdi, u, n. potatoes which grow in a garden out of",Phan
"sawlia, u, n. sweet potato redrind.",Phan
"shynreh, u n. yam.",Phan
"siiidiap,",Phan
"phareh, ctd. in a careless manner to work,",Pharuh
phareh ia kane ka ruh.,u la shu thdw pharuh
"phawer,",Phawur
phawer kumba ka sorShillong kan leit noh.,phawur
"iap,",Pbet
pbetim.,iap
"lyndet, v.",Pbet
phettuh.,lyndet
"tbong,",Phet
"phiang, u, n, a bird of greenish colour with a",Pbiang
"phiang, v. to arrange and tie grass into bundles for roofing",Pbiang
inspiring,Pbieng a awe
"phir, ad. very clean and white.",Phir
u kynbat.,ti n grass Imit u pWang
"dumdn,",Phldn
", . right through to pass.",Phlkr pei
"phliii, J phlin phlin.",Phlin
"bolts, thus x",V to fasten a door with two cross
"phnain,",PhSaiii
", ad. very fine, as, don ki shara kiba",rit
phnatn.,phnain
pah.,lmit phon
"phrak, kren, ad. straightforwardly,",Phrak
sticks.,etc by planting cross
bird does her young ones.,V to feed as a mother
"jyndem, u",Phroh
"iong, u, n. soot",Phu
"phui,",Phui
"phuin, ad. very clean in appearance, as,  une u khynnah",Phuin
briew phuinhtiin.,uba bha
"upyrton,",Phuj
"phum, ad. soft like cotton,",Phum
phmny,phum
"phup,",Phup
pliup ,jong phi u la lieh phup
"soi, ad. unusually, as an exceptional instance,",Phylla
soi aiu ka,niynno phim ju wan kai mynta phiwan phylla
"ding w, n. a flying cinder or spark.",Phylliah
", v. to have waves.",at
"lyngkor, ka, n.",Phyrdap
split pieces of bamboo for,the two
"an, a. short and stout.",Pi
"e, a, full or swollen as an overfull stomach.",Pi
"arna, and pienIasubon, are",pien
sdie., as U iw
", n,",Pilang nai
r.,saucer
"pjong, ad. like the leap of a deer,",Pjong
i hynne ia, nga ioli
pjong.,ka skei ba ka iqv pjong
"plain, ad. jet black, as,",Plain
plain., u briew uba ion plain
pliang,shi
i kiba paig ki thiah,as  tang shu rung hapoh Aspatal nga ioh
bishar,Saheb
"plein, ad. hard and",Plein
plein.,u dang im plein
"pnek, ad. very sticky",Pnek
pnek.,ka long kaba dambit pnek
door of,n a side
"ia, a. low or mean action",Poh
"caste, lowborn.",Pohjaid a low
pohrati.,pohjait
"rati,",Poh
born.,a low
"tit, ka, n. the armpit.",Poh
"poi Iwet, ad. easily crumbling",Poi
poi,jain ka la Iko poi
"bnai,",Poi
"kha, V. to marry.",Poi
poiman.,Imit poikha
"ktien, v. to get a word or reply.",Poi
poithylliej.,Iiiiit poiktien
"poit, dih, ad. with",Poit
"udkhar, ka, n. the Durga Poojali.",Pomblang
"uSiem Nongkrem, ka,",Pomblang
POM,POM
"pom, ad.",Pom
pom.,om
kyndit,as  kyndit
"umksang,",Prie
"jingmnt,",Proh
"pits,",the sides arm
"prap, ad. simultaneously and hurriedly",Prup
prap .,prup
"ptj, ad. very adhesive,",Ptj
ptejy,pnah ptej
u Pukra.,Iniit u Pukir
"piid, a. timid.",Pud
"kjat, ka, n.",Pung
"kti, ka, n. an arm.",Pung
"kylla,",Puh
"pui,",Pui
"piiid, a. coward.",Piiid
"suwa, u, n. a locust.",Puit
"up, a private room",Pulit ka n a lok
coop.,Pulo ka n a hen
"pum, M, w. a mist",Pum
jingkieng,pOn
ktien,pyllait
"jingkieng, v. to throw a bridge across.",Pun
puri.,Imit pura
"khnam,",ilir
purap.,Imit puria
"ana, ka,",Pur
pyngklat.,Imit pyugklit
"ktien, v. to break off the match.",Pyllait
KSUID,PYLLAIT
"ksuid,",Pyllait
spirit,evil
"lan, v. to let loose an animal to roam at large.",Pyllait
"rili,",Pyllait
"sanshing, v. to divorce.",Pyllait
", ad. on the belly",Pyllup dem
"adke, v. to bring a thing to naught.",Pyn
"am,",Pyn
shaped,a V
"atkhu,",Pyn
"atshyntur, v. to pout, to sulk.",Pyn
pynrap.,pynbiid
"dar, v. to be",Pynkhiiid
"ngat,",Pyn
KPUT,PYNHIAR
"kput,",Pynhiar
"myEsiem,",Pynhiar
"synjat, v. to make a formal betrothal.",Pynhiar
"iar, v. to extend, to stretch",Pyn
"ong, v. to inform, to deliver a verbal message.",Pyn
"par, v. to banish, to send into exile",Pynryngkang
"iang, v. to speak or behave as",Pynshfidkhaw
pyrdain .,lmit pyrkhat
briew da,ia u nongpyniap
", ka,",Pyrdng niam
",cZ.",at
"arched,",well
"em, ka, n. the spring season.",Pyr
"en, ad. with a swollen belly.",Pyr
inlaw.,uoc a son or daughter
"ksiew, n. a grandniece or nephew mothers side.",Pyrsa
pyrkat.,Imit pyrsia
poojah of a Siem same as  paituli .,Pyrtuh ka n a domestic
", cjf. awkwardly carrying a big person on the back,",Rakep bah
bakot eh ruh.,wat lada ki long ki ba ioh
"bah,",rad
"iarkhad, u, n. a sacrificial cock.",Rang
"ka Juki,",Imit ka raugli
RONG,RAH
"rong, v. to carry about as a show",Eah
rong rahndm.,Jmt rah
"eh, ka n. a waste land covered with thick jungle",Kai
ehraidam,Imit rai
"respect, honour.",Rain ka n self
"raidieng, her, phet,",Raimaw
raidieng l,rainidiv
i ia u khla uba heh,as  nga ioh
EW,RAM
MAT,RENG
"ew, ka, n. tlic goddess of earth, the ground",Eam
iant.,n a g
"ia,",Eam
"ia, to",krenram
"shangki, ka, n. an old fashioned gun used by the Khasis long",Bam
"shandi,",Eam
root., to up
thiew.,Imit rat
"da, zr. used with yn or ym",Rat
"monster, a brave or daring fellow.",Red w n a fabulous sea
"ngap, ka, n. the cheekbone.",Reng
"mat, ka, n. the eyebrow.",Beng
"shdn, u, n. a very hard and durable wood used for posts.",Beit
monster.,Ken u n a sea
riang.,Imit rep
", n. an illusion or dream, hallucination.",ha
"rngain iong, ad. as black as coal.",Engaifi
rwang.,Imit rngiew
rhing.,Imit rhah
", ad. conspicuously or markedly less",Ehew duna
"rhuin,",Ehuin
rhuln.,Qlml
ka ram.,Imit ka riat
"kynti, ka, n. a private landed property.",lii
riewmiat.,Imit riewbha
"believer, a person",a fellow
"iaid, ka, n. a woman of bad character, a harlot,",riew
u ruser.,Imit u runar
"lah, n. a person who holds on in argument although he",riewsaid
"usiar, dang,r. at the crowing of a",riew
riewphew.,Imit riewspah
riewnang.,riewstad
riewsan.,shibun haba ia shongkai  Imit riewtymmen
e.,Siems female reati
"dong,",Ring
"jingmut,",Eing
ofwar.,Ringtyllai kaba n a tug
u khnong.,Imit u rijied
"rdj, ka, n. a raj or public land.",ri
"jingmut, a. narrowminded.",Rit
"War, ka,n. the lowlands on the southern",Ri
", ka, n. exudation on a wound or sore, serum.",Rmiew um
"katarasa, ka, n. a show, a display",Kong
"iong, ka,",Bong
"jugem, ka, n. aieddish black colour.",Eong
"jyrngam, ka, n, green or blue colour.",Bong
"jyrngum, ka, n. a blackish green colour.",Kong
"lieh, ka,",Eong
"pad,",Eong
"foil,",ka n lead
"pyllun,",Eong
"saw,",Eong
"sawdong,",Eong
"shiria,",Eong
"stem,",Eono
"tham,",Eong
playing.,card
"ioin,",Koiii
roiTi.,roiii
"roit,",Eoit
roit,roit
"gourd,",bottle
grass.,of sun
beh u bat rtin ia ka skei,as u sew
siaw.,Imit rwai
"rukom,",Eukom
rukom, ki don rukom
"Balang,",Eung
"dak,",Eiiid
"nur,",Euid
"rui,",Eui
rutit ,ruma
ruser.,Imit ranar
JA,RYMBAI
siaw.,rwdi
"mylluug,",Rwai
", leit,",wan
ka rwiang.,hxokImit ka bok
ryngkoh.,ryngkang
uBasa,Kyngkew
", ad. following very closely of childrens ages ",Ryngkhi bud
"ryngmang,",Ryngmang
rjngmang ha u paitbah,kven ringmang
"ktung,",Bymbai
"ja,",Rymbai
tynnad rpnmuiil.,rkhie jong u kaba i
"kjat,",Ryndang
"kti,",Ryadang
"ieng,",Ryn
iengryniot.,ryn
"tlem,",Byndia
knia,Hysham
"prum,",as 
"mattah,",are 
suba.,sab
sakai.,sabuit
"kasaid, ",Sa
isdtd, sa
"iaid,",Sa
satar.,sakhi
sak,Sak
"raieh,",Sakudm
set fellow.,thick
ka sunon.,yivtit ka sM
ka ma.,lhnit ka sang
ka,lhmt ka sangam
am,to i
"daifimur, ha, n. a",Sah
u suba.,Imit u saheb
NAR,SAI
"jit,",Sah
"nangang, v. to be known as a telltale.",Sah
"pud,",Sah
"teng, kaba, n. what still remains to be done or completed.",Sah
", ad. lavishly, prodigally.",leh
"kait, w, w. a fibre of a plantain tree.",sai
"ksan, v. to hold on",Said
"ding, v. to warm near the fire,",Said
"lah, v. to keep on arguing in spite of failure",Said
"lwet,",Said
"sngi, v. to bask in the sun.",Said
sngi.,Same as syaid
"thma, v. originally",Said
saidktien.,Imit saidthnia
hemp., n sun
thread.,saimuka w n a muga silk
line  to please.,Sain V to burn a part of grass so as to clear a fire
"nalia, , n. jute",si
"nar, Uj n. a wire",sai
LUNG,SAIN
"lun, ha, n.  place that has been recently reserved",Sdiu
thread., a waist
thread.,i rolled English cotton
"ryndia, m, n. Hsilk thread.",sai
"siang,",sai
string having the highest pitch.,it n a fiddle
"siej, w, n. a bow string.",sdi
"steiS, u, n.",sai
"tar,",sai
wire.,ii n a telegraph
"tluh,",sai
"tyllai, u, w. a rope,",sai
"woh, Uyii. a skein.",sai
"wul,", jsai
salait.,Imit salia
samong.,salit
"thiah, samkhyndew",as in saw
"blang, ka, n. a kind",Sameh
samhoi.,Imit samla
tree,Samparat ka n a kind of palm
looking.,terrible
saphrong.,saphret
ka jew.,Imit ka sat
y n. tough flesh., ha doli satar
"hyrsia,",Sat
"tdani, ad. short and stout,",Sa
tdamr,kot sci
"synjat,",Sati
"yngkuid,",Sati
sajap.,sator
"syllang, a. very hot or painful.",Sat
"kasiau, ka, phr. excitement",Saw
cornered,Sawdong  four
round.,ad all
"bseifi, u, n. a spenies of wild arum",Sawiah
"sawmynsiem, a. hottempered, irritable.",Saw
"iang, .",Sawsyng
"water,",rice
"hearted, generous.",Sbuu a kind good
iiug na ka ryntlang.,ia u trai
ka,mantras 
gourd,bottle
"khuiang, u, n. the cocoon.",Skop
"nail,",Sdiah V to squeeze or press witH the thumb
sized,Sdung a good
wood.,seh ahhrev of kseh u n pine
"blei, lea, n. Bot. Taus baccata, a species",seh
"khleifi,",seh
wood.,ti n a resinous pine
"luDg,",Sei
BNALAT,SEW
"bnalat,",eew
"diengthang, a. very fat",Sngjiid
sngewmiat.,Sngewbha v to be pleased ImiL sngevvbha
sngew anna.,bieit
"diaw, v. to have",Sngew
"niun, v. to be unwell, to be out of sorts.",Sngew
sngew,sngewsih
"ei, v. to have pity for.",Sngewsyn
sngewthaw.,Jmit sngewthuh
"Balang, ha n, Wednesday",Sngi
"palci, ka, n. Thursday.",Sngi
"pohia, ka, n. weekday.",Sngi
"saitjaifi, ka n. Saturday.",Sngi
"thohdieng, ka, n. Priday.",Sngi
"uBlei, ka,",Sngi
", a. exactly equal",Shak mar
shakor.,Imit shakri
kmen.,Imit shad
"khalek, v, to dance round a group of girls dancing by men",Shdd
sharuh ,shadem
MASTIEH,SHAD
"mastieh, ha.",Shad
dance.,n a sword
"nolikjat, ka,",Shkl
"kishadia, ki n. old persons.",Shado
"sawangki, v. to dance like nautch girls.",ShiUl
"sohtyngker,",Shad
"jingit,",Shah
"byrngut,",Shai
poonjee.,of Shella
basket,Shalani ka n a small round winnowing
"or,",Shalyng
"ur, w, n. a kind of wasp.",Shalyng
"sham, a. very precipitous, as,  ki pynnoh ia u men Lang",Sham
shdm.,iiiuh na ka riat kaba shdin
case.,Tcay n a small metal lime
"khung, u, n. rafter.",Bhan
"dang,",han
stick.,Shanduh d to take or use a walking
"mohor, , n. an obsolete silver coin of the Jaintia Eajas.",Shdn
"shano, ad. anywhere, wherever.",Shano
"reshano, ad. somewhere.",Shano
ka mohor.,Imit ka shp
plate worn hy,Shaphrat ka n a piece of iron or copper
"pushi,",Sha
pot.,ti n a tea
eyed,Share ad dim
shariaug,Imit sharud
shakiar., sharud
"batabak, ha n. a circular",Shata
"khmaf, v. to cast ones eyes upon, to have a fancy for.",Shat
"jain, ha, n. a clothumbrella.",Shatri
SHAAR,SHAWEI
THAi,SHET
"shaar, ad. somewhere else.",Shawei
"shawei, ad, towards some other parts,",Shawei
", ad. by showing the teeth", rkliie
"sheng,",Sheng
 ad. very high,jrong
sheng. ,kaba jrong sheng
"duk,",Shem
"pap,",Shem
shemma.,shemsang
sat. v. to meet with trouble,Shem
"shen, ad. soon, presently",Shen
da,Shep
da lah.,u ialeh ruh um shep
"kylla, v. to prepare a spiced curry",Shet
"jakai, v. to make a sham cooking as children do.",Shet
"thdi, v, to parboil.",Shet
KAUMKADING,SHET
"kaumkading, phr.",het
"refix, which means one,",Bhi
"buit, u, n. a briar.",Shiah
arbit.,shibit
i shibyllien u briew u leit sha iing Kashari. ,ioh
"kaddei, ad. very much",Shi
"katta, ad. all the while.",Shi
"shiman, iadei, n. to be related by marriage.",Shikha
time.,Shikhmat ka n life
"kabneng, phr. the whole",hikhrum
tie suspended,or bamboo
MET,SHI
"kur, ka, n. one clan.",Shi
shikmie.,shikur
"kuri, ki,",Shi
"kuro, ka, n. a faction.",Shi
"dana, ka n. a bit, a little quantity.",Shi
"dur, a. of the same form or shape",Shi
"rukom, a. sui ge fieri i, peculiar.",Shi
ka,shing
"budlum, u, n. the spine.",Shing
"hali, ka, n. a number containing",Shi
"hara, ka, n. a set, a group of the same kind of things.",Shi
"hud, ka, n. one portion",Shi
tynnad shihild.,u ba u thoh ki shu i
"iingshisem, ka, n. one family, one house.",Shi
"jhap, ka, n. a number containing ",Shi
"Avnow, shiliavgwoh, etc..",mamla shiliang
"khmat, ad. partially, dishonestly.",Shiliang
"shiliang, n. eah side, each party.",Shiliang
"lnger, ka, n. one whole length",Shi
"lymbher, kay n. one large heap.",Shi
"lynter,",Shi
"bteng, v. to take the place of",Shim
"khyndew, v. to wane said of the moon.",Shim
"mat, k, n. one joint, a portion between two joints.",Shi
"met, ad. personally,",Shi
TDA,SHI
"shah, v. to buy a",Shim
shahshim,Imit shim
"siew, v. to take a thing by paying its cost price.",Shim
"mynsiem, ad. dearlv, intimately,",Shi
mynsiem, as ki ia ieit shi
shin ia uwei u khynnah.,u peit
shipi.,Imit shipa
"shipai, influenza.",pavg
ore,of iron
"piam,",Shi
"piamstar, ka, n. a lengthas much as can",Shi
strap or  star.,with a head
"rynieng, ad. from head to foot.",Shi
ka syang.,Imit ka shit
"tda, ka, n. a length measured from",Shi
DANG,SHIT
"dang, v. to feel very hot applicable to persons only.",Shit
shiliang.,Innt shiteng
"arteng, ha n. more than one occasion, often.",Shiteng
"synnia,",Shiteng
synnia,shiteng
dummoh.,teng
"lhep,  V.",Shit
"lhop, ",Shit
shijot.,Imit shitom
", ka,n.i large flat fish.",tShitor kha
"rhem,",Shit
"tyllup,",Shi
tyllup ka pyrthei ki tip, baroh shi
"shlein, nep, ad. pointed, as, ki rah",Shleifi
silem. forward impudent.,nep shleiri
"house, an iionworkshop.",Shlem ka n a smelting
", ad, very long and pointed,",Shier nep
", ad. very pointed, taperingly.",Shlir nep
DOR,SHONG
", ad. up to the brim full,",Shmoiii  dap
ka thaw.,ImU ka shnong
sah., Imit shong
"basa,",Shong
basa,shong
shongiclid.,Imit shongkai
"kha,",Shong
shongman.,Tmit shongkha
shongkhrei.,ksiiid
shongsang.,Imit sbongkur
shongkupai.,Imit shongkurim
"mungor,",Shongkyllaifi
"legged,",sit cross
"dor,",Shong
dorshongmur,shong
"dur, a, becoming, proper.",hong
LYNGNGEIT,SHONG
TYNDEP,SHOH
"lyngngeit,",Shong
"mangkariang, a. bad tempered, envious.",Shong
"nia, a, reasonable, right.",Shong
"niangraitliang,",Shong
"fiiangraithoh, a. having an",Shong
"per, a. to become lightminded, to be flippant.",Shong
"shongshang,",Shongprah
"raithoh, a. stingy, niggard.",Shong
"sngi, v. to be off ones work, to rest.",Shong
"shiliangkhmat, a. having second sight.",Shong
"thap,",Shong
shongbiang.,Imit shongtbap
dat.  a., Imit shoh
"dap, v. to castrate a bull.",Shoh
"doh, V. to kill an animal for food. Bnlt. shohdohshohkah.",Shoh
"dohkha, v. to poison fish.",Shoh
doh khashohdohthli.,Imii shoh
"niangkur,",Shoh
"noh, v. to commit murder for the propitiation of",Shoh
nohshohtuh.,Imit shoh
"samthiah, v. to drowse.",Shoh
"thah, ka, n. a robinred breast",Shoh
"thdw, V. to work in iron, to work as a blacksmith.",Shoh
", ad. in order,",ieng
"iak, j",Shi
fruit,or of such like
root., an arum
"margin,",carved
ka shrub.,shrong
pen.,V to hate to be inimical with Imit shiin
"kot,",Shun
"kpu, ka, n. slaked lime.",Shun
"dewiong, ka, n. lime burnt with coal.",Shun
"dieng, ka, n. lime burnt with wood.",Shun
"maw, ka, n. unslaked lime, quick lime.",Shun
"thlongmluhthlongsying,",Shiin
shuwai,a base thing Imit shuti
ka,ka shwdr
"iar, ka, n. a jet of water, a stream of water, a fountain.",Shyng
"id, ka, n. a manger.",Shyng
ka tlieng.,Imit ka shylliah
"nud, ka, n. the pit of the stomach.",Shyllip
", ad, poutingly, sulkily.",leh
"kjat, ka, n, the shins.",Shynrang
shynriah,Imit shynraifi
in.,Imit shynraintyng
shell,a skull an egg
"riap,",Shynroin
shynriap . ,shynroin
KHARJ,SI
kite,paper
"tyrpeng, ka, n, the shoulderblade.",Siang
", ad.",dap
iong u leit kyllain syian ha,sein
"flower a work like a plantainflower,",Siarkait ka n a plantain
"longkha, u, n. any",Siar
"shrong, ka,n. a kind of earring worn by males,",Siar
"sla, ka, n. gold leaf.",siar
"tylli, ka, n.",siar
"sia, ad. in anger and in a threatening attitude.",Sia
"shisia, ad. unceasingly, constantly, as,  u bam",Sia
shisia ia,sia
"jingmut,",Siat
"shonshiw, v. to tread on the corns of another.",Siat
"thong,",Siat
"mawiang,",Sidw
"siaw, ad. in a whisper.",Siaw
siawsoitsoit.,Imit siaw
"kliar, ka, n. a small cow imported",si
KHYNNA,SI
MASTIEH,SING
"khynna, ka, n. a hill cow, a cow bred in the Khasi",si
u skong.,Imit u siej
u kmie.,u Siem
"iong, u, n. a term applied to the Siem of Nongspung.",Siem
"lieh, u, n. a term applied to the Siem of Nongkhlaw.",Siem
"sad, ka, n. the eldest or the youngest female member",Siem
"Shillong,",Siem
tda.,Imii siew
"baibat,",Biew
siew,siewspah
"tun, n. a greatgrandchild.", siew
u siewjiap.,Imit u siewtun
"dumdum, singynghai, sing march,  the",sing
beatings in a Khasi female dance.,of drum
"mana, ka, n. boundary,",fSing
"mastieh,",sing
"shadwait,  the different ways",sing
NAKRA,SING
"nakra, ka n. a big drum.",sing
"nalai, ka, n. a long conical drum like a tomtom.",sing
"padiah,",sing
"sez,",as kren
"si, etc.",sihi sngew
"lud, w. a young cow or bull.",si
"lyngraw, n. a youngbull.",si
ka doh.,Sim n a bird Imit ka sim
"mdd, ka, n. a bedbug.",si
"met,",si
mite gamasidae vermin which infests,ka n an insect
"krai,",Sim
"kyllaidohdit,",Sim
tail., w a wag
"ldidieng,",Sim
"puhdieng, n. a creeper bird.",Sim
"puhwieh, ",Sim
ktieh,Sim
"pyllieng, , w. the rainbow.",Sim
"sohphoh, w, w. a hoopoe, a fop.",Sim
"tung, m, . a blackbird.",Sim
"tyngwieng, u, n. waterouzel  a man who makes much show",Bim
rngop.,Sin V to nickname Imit sin
"sipsapsap, ad, in an underhand way, not openlyi",Sip
", ad. evening, nighttime.",Sit used with la
"siw, khriat adi very cold.",Siw
"siwsiawsiaw, ad. Whisperingly.",Siw
sleh.,Sleh V to anoint to wash the head Imit sum
tree whose leaves are generally used in,Slew ka V kind of palm
nmhrellas.,making leaf
